file,data_rows,min_settlement,max_settlement,sum_fail_quantity
cnsp_sec_fails_2004q1.zip,25381,20040322,20040401,7343986170
cnsp_sec_fails_2004q2.zip,173436,20040401,20040630,43482528795
cnsp_sec_fails_2004q3.zip,170657,20040701,20040930,60693912935
cnsp_sec_fails_2004q4.zip,164853,20041001,20041231,46460125676
cnsp_sec_fails_2005q1.zip,158634,20050103,20050331,35590555491
cnsp_sec_fails_2005q2.zip,157172,20050401,20050630,32367940287
cnsp_sec_fails_2005q3.zip,157680,20050701,20050930,28492199303
cnsp_sec_fails_2005q4.zip,148678,20051003,20051230,28746806030
cnsp_sec_fails_2006q1.zip,163210,20060103,20060331,39637503136
cnsp_sec_fails_2006q2.zip,176789,20060403,20060630,36258422373
cnsp_sec_fails_2006q3.zip,157243,20060703,20060929,36166586696
cnsp_sec_fails_2006q4.zip,159975,20061002,20061229,43429591020
cnsp_sec_fails_2007q1.zip,166247,20070102,20070330,44742609669
cnsp_sec_fails_2007q2.zip,187826,20070402,20070629,56992063070
cnsp_sec_fails_2007q3.zip,193265,20070702,20070928,72955765331
cnsp_sec_fails_2007q4.zip,186936,20071001,20071231,62254028843
cnsp_sec_fails_2008q1.zip,196839,20080102,20080331,63662547621
cnsp_sec_fails_2008q2.zip,206397,20080401,20080630,66267192663
cnsp_sec_fails_2008q3.zip,285343,20080701,20080930,78119681818
cnsp_sec_fails_2008q4.zip,454860,20081001,20081231,33319011078
cnsp_sec_fails_2009q1.zip,402698,20090102,20090331,22119398675
cnsp_sec_fails_2009q2.zip,422893,20090401,20090630,23956081417
cnsfails200907a.zip,57537,20090701,20090714,3881580156
cnsfails200907b.zip,81410,20090715,20090731,3640194447
cnsfails200908a.zip,63722,20090803,20090814,2778063428
cnsfails200908b.zip,68980,20090817,20090831,1964313061
cnsfails200909a.zip,56718,20090901,20090914,2125851889
cnsfails200909b.zip,78881,20090915,20090930,3346212901
cnsfails200910a.zip,58916,20091001,20091014,2694177351
cnsfails200910b.zip,75791,20091015,20091030,3758069350
cnsfails200911a.zip,56649,20091102,20091113,2093413965
cnsfails200911b.zip,62106,20091116,20091130,3278910172
cnsfails200912a.zip,63202,20091201,20091214,3742057334
cnsfails200912b.zip,76081,20091215,20091231,3725464610
cnsfails201001a.zip,57369,20100104,20100114,1779732528
cnsfails201001b.zip,63499,20100115,20100129,3765021889
cnsfails201002a.zip,61983,20100201,20100212,3812512680
cnsfails201002b.zip,60832,20100216,20100226,2201687683
cnsfails201003a.zip,62753,20100301,20100312,2015133855
cnsfails201003b.zip,81832,20100315,20100331,3863563901
cnsfails201004a.zip,57041,20100401,20100414,3734567083
cnsfails201004b.zip,76194,20100415,20100430,4703167774
cnsfails201005a.zip,64851,20100503,20100514,5401007118
cnsfails201005b.zip,63537,20100517,20100528,3621956102
cnsfails201006a.zip,61802,20100601,20100614,3432628653
cnsfails201006b.zip,74926,20100615,20100630,4243522021
cnsfails201007a.zip,55120,20100701,20100714,2270344480
cnsfails201007b.zip,73466,20100715,20100730,5936821916
cnsfails201008a.zip,60952,20100802,20100813,4682963532
cnsfails201008b.zip,72751,20100816,20100831,2671108515
cnsfails201009a.zip,56145,20100901,20100914,2550567139
cnsfails201009b.zip,74746,20100915,20100930,5381127037
cnsfails201010a.zip,58374,20101001,20101014,3020199148
cnsfails201010b.zip,72686,20101015,20101029,3420991893
cnsfails201011a.zip,60222,20101101,20101112,2974319038
cnsfails201011b.zip,70348,20101115,20101130,6135387360
cnsfails201012a.zip,60982,20101201,20101214,5044701392
cnsfails201012b.zip,73020,20101215,20101231,5290361492
cnsfails201101a.zip,64075,20110103,20110114,3484405226
cnsfails201101b.zip,65262,20110118,20110131,3040053429
cnsfails201102a.zip,66149,20110201,20110214,3343623262
cnsfails201102b.zip,57975,20110215,20110228,2486542611
cnsfails201103a.zip,64405,20110301,20110314,4108983892
cnsfails201103b.zip,82730,20110315,20110331,5946356898
cnsfails201104a.zip,61739,20110401,20110414,2666910725
cnsfails201104b.zip,62152,20110415,20110429,3739851325
cnsfails201105a.zip,63849,20110502,20110513,4094977399
cnsfails201105b.zip,69960,20110516,20110531,3984024917
cnsfails201106a.zip,61722,20110601,20110614,3442304385
cnsfails201106b.zip,74402,20110615,20110630,5164562338
cnsfails201107a.zip,57827,20110701,20110714,3288806949
cnsfails201107b.zip,66414,20110715,20110729,2920394725
cnsfails201108a.zip,63090,20110801,20110812,2787103048
cnsfails201108b.zip,84030,20110815,20110831,4305373477
cnsfails201109a.zip,56172,20110901,20110914,2715055613
cnsfails201109b.zip,71665,20110915,20110930,3491775313
cnsfails201110a.zip,53213,20111003,20111014,4393139637
cnsfails201110b.zip,63451,20111017,20111031,2676129350
cnsfails201111a.zip,49477,20111101,20111114,1663406121
cnsfails201111b.zip,58562,20111115,20111130,1942318341
cnsfails201112a.zip,56813,20111201,20111214,2027611317
cnsfails201112b.zip,61690,20111215,20111230,3041453682
cnsfails201201a.zip,53709,20120103,20120113,3474044432
cnsfails201201b.zip,64889,20120117,20120131,2889185081
cnsfails201202a.zip,59343,20120201,20120214,1411432286
cnsfails201202b.zip,59692,20120215,20120229,1602946834
cnsfails201203a.zip,59476,20120301,20120314,1206663401
cnsfails201203b.zip,69448,20120315,20120330,1953812288
cnsfails201204a.zip,53283,20120402,20120413,1302531132
cnsfails201204b.zip,63997,20120416,20120430,1809735555
cnsfails201205a.zip,59200,20120501,20120514,1627188667
cnsfails201205b.zip,71604,20120515,20120531,2323881159
cnsfails201206a.zip,58618,20120601,20120614,1782102304
cnsfails201206b.zip,63448,20120615,20120629,1872709361
cnsfails201207a.zip,52780,20120702,20120713,1065352146
cnsfails201207b.zip,67207,20120716,20120731,1474214934
cnsfails201208a.zip,61604,20120801,20120814,1372659954
cnsfails201208b.zip,72267,20120815,20120831,1759815103
cnsfails201209a.zip,50900,20120904,20120914,1288490715
cnsfails201209b.zip,55150,20120917,20120928,2698504676
cnsfails201210a.zip,49716,20121001,20121012,4399185322
cnsfails201210b.zip,73131,20121015,20121031,3584596231
cnsfails201211a.zip,45078,20121101,20121114,2989514065
cnsfails201211b.zip,59197,20121115,20121130,2702920796
cnsfails201212a.zip,53475,20121203,20121214,2004504288
cnsfails201212b.zip,56103,20121217,20121231,1969491869
cnsfails201301a.zip,51123,20130102,20130114,1089968982
cnsfails201301b.zip,65113,20130115,20130131,2800346434
cnsfails201302a.zip,54209,20130201,20130214,2084808456
cnsfails201302b.zip,48691,20130215,20130228,2378752052
cnsfails201303a.zip,55596,20130301,20130314,3030155097
cnsfails201303b.zip,57026,20130315,20130328,2481764585
cnsfails201304a.zip,54931,20130401,20130412,2690962125
cnsfails201304b.zip,66831,20130415,20130430,3798558080
cnsfails201305a.zip,58019,20130501,20130514,3343140464
cnsfails201305b.zip,66653,20130515,20130531,2227310231
cnsfails201306a.zip,55632,20130603,20130614,1775433580
cnsfails201306b.zip,56981,20130617,20130628,1762963370
cnsfails201307a.zip,51423,20130701,20130712,1628221739
cnsfails201307b.zip,71492,20130715,20130731,1639887665
cnsfails201308a.zip,54771,20130801,20130814,1756000177
cnsfails201308b.zip,65659,20130815,20130830,1925599445
cnsfails201309a.zip,48906,20130903,20130913,1701825366
cnsfails201309b.zip,59028,20130916,20130930,1636852228
cnsfails201310a.zip,46512,20131001,20131011,1453988367
cnsfails201310b.zip,74172,20131015,20131031,2063090083
cnsfails201311a.zip,55205,20131101,20131114,1514471059
cnsfails201311b.zip,55130,20131115,20131129,1819368951
cnsfails201312a.zip,54999,20131202,20131213,1469119306
cnsfails201312b.zip,68791,20131216,20131231,2108379690
cnsfails201401a.zip,56152,20140102,20140114,1497943019
cnsfails201401b.zip,77624,20140115,20140131,2690284856
cnsfails201402a.zip,64291,20140203,20140214,2455510961
cnsfails201402b.zip,56255,20140218,20140228,2752085058
cnsfails201403a.zip,59261,20140303,20140314,2103976847
cnsfails201403b.zip,65037,20140317,20140331,2381295125
cnsfails201404a.zip,58390,20140401,20140414,1605169639
cnsfails201404b.zip,63684,20140415,20140430,2032064579
cnsfails201405a.zip,59520,20140501,20140514,1977789661
cnsfails201405b.zip,66926,20140515,20140530,2090523841
cnsfails201406a.zip,61659,20140602,20140613,1679545133
cnsfails201406b.zip,68205,20140616,20140630,1683792248
cnsfails201407a.zip,55848,20140701,20140714,1669163471
cnsfails201407b.zip,75667,20140715,20140731,3346041577
cnsfails201408a.zip,59897,20140801,20140814,2128549220
cnsfails201408b.zip,65022,20140815,20140829,2853440151
cnsfails201409a.zip,52526,20140902,20140912,1508583325
cnsfails201409b.zip,68900,20140915,20140930,2627530300
cnsfails201410a.zip,54315,20141001,20141014,1901062681
cnsfails201410b.zip,80172,20141015,20141031,3837778657
cnsfails201411a.zip,56243,20141103,20141114,2174533856
cnsfails201411b.zip,54979,20141117,20141128,2289681317
cnsfails201412a.zip,62316,20141201,20141212,4289441082
cnsfails201412b.zip,75732,20141215,20141231,3233628612
cnsfails201501a.zip,54781,20150102,20150114,1723988328
cnsfails201501b.zip,70570,20150115,20150130,2610920243
cnsfails201502a.zip,64267,20150202,20150213,2594350764
cnsfails201502b.zip,58201,20150217,20150227,2011476995
cnsfails201503a.zip,64289,20150302,20150313,3083362357
cnsfails201503b.zip,75918,20150316,20150331,4834136540
cnsfails201504a.zip,57298,20150401,20150414,3427688217
cnsfails201504b.zip,74806,20150415,20150430,2685826454
cnsfails201505a.zip,64920,20150501,20150514,2614801637
cnsfails201505b.zip,63136,20150515,20150529,3089972943
cnsfails201506a.zip,63618,20150601,20150612,2239204029
cnsfails201506b.zip,71792,20150615,20150630,2959536609
cnsfails201507a.zip,55961,20150701,20150714,2137544254
cnsfails201507b.zip,77527,20150715,20150731,2359960298
cnsfails201508a.zip,60198,20150803,20150814,2105995935
cnsfails201508b.zip,67430,20150817,20150831,2521464261
cnsfails201509a.zip,56213,20150901,20150914,1930269361
cnsfails201509b.zip,70473,20150915,20150930,2111794706
cnsfails201510a.zip,54925,20151001,20151014,1631641329
cnsfails201510b.zip,71071,20151015,20151030,2153664704
cnsfails201511a.zip,55307,20151102,20151113,1738850097
cnsfails201511b.zip,60800,20151116,20151130,1983930038
cnsfails201512a.zip,59650,20151201,20151214,1825133067
cnsfails201512b.zip,74461,20151215,20151231,2447962081
cnsfails201601a.zip,53558,20160104,20160114,1715549547
cnsfails201601b.zip,59330,20160115,20160129,1775481074
cnsfails201602a.zip,58171,20160201,20160212,1766505732
cnsfails201602b.zip,58541,20160216,20160229,2308945566
cnsfails201603a.zip,60347,20160301,20160314,2709639072
cnsfails201603b.zip,70930,20160315,20160331,2652183420
cnsfails201604a.zip,57848,20160401,20160414,1794222761
cnsfails201604b.zip,61661,20160415,20160429,3602293451
cnsfails201605a.zip,55660,20160502,20160513,2043558031
cnsfails201605b.zip,58621,20160516,20160531,1789046433
cnsfails201606a.zip,46499,20160601,20160614,1197962959
cnsfails201606b.zip,55247,20160615,20160630,1986162113
cnsfails201607a.zip,42318,20160701,20160714,1242626615
cnsfails201607b.zip,48010,20160715,20160729,1692048344
cnsfails201608a.zip,44184,20160801,20160812,1586203743
cnsfails201608b.zip,56084,20160815,20160831,1812974485
cnsfails201609a.zip,39020,20160901,20160914,1204475396
cnsfails201609b.zip,51333,20160915,20160930,1953848481
cnsfails201610a.zip,39386,20161003,20161014,1510333972
cnsfails201610b.zip,46500,20161017,20161031,1451822799
cnsfails201611a.zip,37083,20161101,20161114,1268568398
cnsfails201611b.zip,48701,20161115,20161130,2708836025
cnsfails201612a.zip,46007,20161201,20161214,1576919655
cnsfails201612b.zip,50192,20161215,20161230,1695796583
cnsfails201701a.zip,39285,20170103,20170113,1097507481
cnsfails201701b.zip,49141,20170117,20170131,1507226103
cnsfails201702a.zip,46371,20170201,20170214,2116367751
cnsfails201702b.zip,41740,20170215,20170228,2530179685
cnsfails201703a.zip,45169,20170301,20170314,2066225637
cnsfails201703b.zip,58559,20170315,20170331,2377012366
cnsfails201704a.zip,39632,20170403,20170413,1067497944
cnsfails201704b.zip,43414,20170417,20170428,1205859551
cnsfails201705a.zip,43554,20170501,20170512,1219891681
cnsfails201705b.zip,52450,20170515,20170531,2171329933
cnsfails201706a.zip,44192,20170601,20170614,1023052701
cnsfails201706b.zip,53449,20170615,20170630,1584745437
cnsfails201707a.zip,39282,20170703,20170714,1263647744
cnsfails201707b.zip,47420,20170717,20170731,1205126976
cnsfails201708a.zip,46294,20170801,20170814,1243705122
cnsfails201708b.zip,57581,20170815,20170831,1336500726
cnsfails201709a.zip,39953,20170901,20170914,917606635
cnsfails201709b.zip,48769,20170915,20170929,1526521136
cnsfails201710a.zip,39805,20171002,20171013,1226138575
cnsfails201710b.zip,52748,20171016,20171031,2032403897
cnsfails201711a.zip,46765,20171101,20171114,1774938929
cnsfails201711b.zip,51206,20171115,20171130,1308609519
cnsfails201712a.zip,46238,20171201,20171214,1189581609
cnsfails201712b.zip,48029,20171215,20171229,2389696467
cnsfails201801a.zip,43567,20180102,20180112,1225418614
cnsfails201801b.zip,60098,20180116,20180131,1888458967
cnsfails201802a.zip,50075,20180201,20180214,1468836281
cnsfails201802b.zip,44882,20180215,20180228,2302202267
cnsfails201803a.zip,48624,20180301,20180314,1406989471
cnsfails201803b.zip,53680,20180315,20180329,1577317312
cnsfails201804a.zip,47124,20180402,20180413,1755148867
cnsfails201804b.zip,50075,20180416,20180430,1900034602
cnsfails201805a.zip,46984,20180501,20180514,1558374194
cnsfails201805b.zip,56048,20180515,20180531,1989729878
cnsfails201806a.zip,50098,20180601,20180614,1871106258
cnsfails201806b.zip,55804,20180615,20180629,1883646171
cnsfails201807a.zip,44495,20180702,20180713,1924013396
cnsfails201807b.zip,55983,20180716,20180731,1712155722
cnsfails201808a.zip,47485,20180801,20180814,1371534249
cnsfails201808b.zip,59761,20180815,20180831,1500202930
cnsfails201809a.zip,42989,20180904,20180914,915420352
cnsfails201809b.zip,48836,20180917,20180928,1399682827
cnsfails201810a.zip,42899,20181001,20181012,1340308921
cnsfails201810b.zip,59949,20181015,20181031,1882062866
cnsfails201811a.zip,42970,20181101,20181114,1349379064
cnsfails201811b.zip,50445,20181115,20181130,1695077758
cnsfails201812a.zip,45547,20181203,20181214,1393505499
cnsfails201812b.zip,46436,20181217,20181231,3288860022
cnsfails201901a.zip,40030,20190102,20190114,2455520040
cnsfails201901b.zip,53321,20190115,20190131,1968823736
cnsfails201902a.zip,44278,20190201,20190214,2128688013
cnsfails201902b.zip,41429,20190215,20190228,1931777661
cnsfails201903a.zip,44366,20190301,20190314,1352871665
cnsfails201903b.zip,47373,20190315,20190329,1665157319
cnsfails201904a.zip,42526,20190401,20190412,1037651788
cnsfails201904b.zip,46386,20190415,20190430,1285072165
cnsfails201905a.zip,42068,20190501,20190514,913290106
cnsfails201905b.zip,51018,20190515,20190531,1136205628
cnsfails201906a.zip,43350,20190603,20190614,939719806
cnsfails201906b.zip,43782,20190617,20190628,1524031813
cnsfails201907a.zip,41023,20190701,20190712,914261864
cnsfails201907b.zip,53603,20190715,20190731,2244217582
cnsfails201908a.zip,44488,20190801,20190814,1549216604
cnsfails201908b.zip,52838,20190815,20190830,1276429378
cnsfails201909a.zip,36778,20190903,20190913,819320814
cnsfails201909b.zip,47750,20190916,20190930,1074282690
cnsfails201910a_0.zip,34127,20191001,20191011,819996958
cnsfails201910b.zip,45331,20191015,20191031,1335088401
cnsfails201911a.zip,34373,20191101,20191114,1092053343
cnsfails201911b.zip,38084,20191115,20191129,1449579067
cnsfails201912a.zip,37232,20191202,20191213,1552070302
cnsfails201912b.zip,45048,20191216,20191231,1737886131
cnsfails202001a.zip,35227,20200102,20200114,1176988803
cnsfails202001b.zip,47833,20200115,20200131,1727010896
cnsfails202005a.zip,48489,20200501,20200514,1552494349
cnsfails202005b.zip,48264,20200515,20200529,1769889615
cnsfails202006a.zip,50461,20200601,20200612,2013417700
cnsfails202006b.zip,60607,20200615,20200630,2704625086
cnsfails202007a.zip,43622,20200701,20200714,1654306726
cnsfails202007b.zip,60147,20200715,20200731,1696082840
cnsfails202008a.zip,47726,20200803,20200814,1516048353
cnsfails202008b.zip,52501,20200817,20200831,1750829001
cnsfails202009a.zip,43147,20200901,20200914,1056731899
cnsfails202009b.zip,57485,20200915,20200930,1736735632
